en,ru-RU,zh-CN,zh-TW,ja,ko,fr
Managed decisions in this snapshot: {0} direct / {1} proxy,Решения managed routing в этом snapshot: {0} напрямую / {1} через прокси,此快照中的托管路由决策：{0} 直连 / {1} 代理,此快照中的受控路由決策：{0} 直連 / {1} Proxy,このスナップショットのマネージド判定: Direct {0} / Proxy {1},이 스냅샷의 관리형 결정: Direct {0} / Proxy {1},Décisions gérées dans cet instantané : {0} direct / {1} proxy
Administrator relay: managed routing active ({0} rules),Ретранслятор Administrator Mode: managed routing активен ({0} правил),管理员中继：托管路由已启用（{0} 条规则）,系統管理員轉送：受控路由已啟用（{0} 條規則）,管理者リレー: マネージドルーティング有効（{0} ルール）,관리자 릴레이: 관리형 라우팅 활성({0}개 규칙),Relais Administrateur : routage géré actif ({0} règles)
Administrator relay: managed routing inactive,Ретранслятор Administrator Mode: managed routing неактивен,管理员中继：托管路由未启用,系統管理員轉送：受控路由未啟用,管理者リレー: マネージドルーティング無効,관리자 릴레이: 관리형 라우팅 비활성,Relais Administrateur : routage géré inactif
Managed routing,Управляемая маршрутизация,托管路由,受控路由,マネージドルーティング,관리형 라우팅,Routage géré
LocalRules,Локальные правила,本地规则,本機規則,ローカルルール,로컬 규칙,Règles locales
ProxyAllBootstrap,Bootstrap: всё через прокси,引导：全部代理,啟動：全部 Proxy,ブートストラップ: 全て Proxy,부트스트랩: 모두 프록시,Bootstrap : tout via proxy
GeoSite + user rules,GeoSite + пользовательские правила,GeoSite + 用户规则,GeoSite + 使用者規則,GeoSite + ユーザールール,GeoSite + 사용자 규칙,GeoSite + règles utilisateur
system proxy is disabled,системный прокси отключён,系统代理已禁用,系統 Proxy 已停用,システムプロキシが無効,시스템 프록시가 비활성화됨,le proxy système est désactivé
global mode already routes every request through Shadowsocks,Global Mode уже направляет все запросы через Shadowsocks,全局模式已将所有请求通过 Shadowsocks 路由,全域模式已將所有請求透過 Shadowsocks 路由,グローバルモードは既に全リクエストを Shadowsocks 経由にしています,글로벌 모드가 이미 모든 요청을 Shadowsocks로 라우팅합니다,le mode global route déjà toutes les requêtes via Shadowsocks
online PAC is the selected external routing mode,выбран внешний режим Online PAC,已选择外部 Online PAC 路由模式,已選擇外部 Online PAC 路由模式,外部 Online PAC ルーティングモードが選択されています,외부 Online PAC 라우팅 모드가 선택됨,le mode de routage PAC en ligne externe est sélectionné
GeoSite is not ready; matching Local PAC proxy-all bootstrap,GeoSite не готов; используется совместимый Local PAC bootstrap «всё через прокси»,GeoSite 尚未就绪；使用与 Local PAC 一致的全部代理引导,GeoSite 尚未就緒；使用與 Local PAC 一致的全部 Proxy 啟動模式,GeoSite 未準備のため Local PAC と同じ全 Proxy ブートストラップを使用,GeoSite가 준비되지 않아 Local PAC와 동일한 전체 프록시 부트스트랩 사용,GeoSite n’est pas prêt ; bootstrap tout-proxy identique au PAC local
not initialized,не инициализировано,未初始化,尚未初始化,未初期化,초기화되지 않음,non initialisé
"#r38 plugin import, DNSCrypt progress and local PAC user rules",,,,,,
Required plugin is not installed,Требуемый плагин не установлен,所需插件尚未安装,所需外掛尚未安裝,必要なプラグインがインストールされていません,필요한 플러그인이 설치되어 있지 않습니다,Le plugin requis n’est pas installé
This ss:// configuration requires {0}. The plugin is available in the built-in catalog but is not installed.,"Для этой конфигурации ss:// требуется {0}. Плагин доступен во встроенном каталоге, но не установлен.",此 ss:// 配置需要 {0}。该插件可在内置目录中获取，但尚未安装。,此 ss:// 設定需要 {0}。此外掛可在內建目錄中取得，但尚未安裝。,この ss:// 設定には {0} が必要です。プラグインは内蔵カタログにありますが、まだインストールされていません。,이 ss:// 구성에는 {0} 플러그인이 필요합니다. 기본 제공 카탈로그에 있지만 아직 설치되지 않았습니다.,Cette configuration ss:// nécessite {0}. Le plugin est disponible dans le catalogue intégré mais n’est pas installé.
Import without plugin,Импортировать без плагина,不安装插件直接导入,不安裝外掛直接匯入,プラグインなしでインポート,플러그인 없이 가져오기,Importer sans le plugin
Installing required plugin: {0},Установка требуемого плагина: {0},正在安装所需插件：{0},正在安裝所需外掛：{0},必要なプラグインをインストール中: {0},필요한 플러그인 설치 중: {0},Installation du plugin requis : {0}
Failed to install required plugin {0}: {1},Не удалось установить требуемый плагин {0}: {1},无法安装所需插件 {0}：{1},無法安裝所需外掛 {0}：{1},必要なプラグイン {0} のインストールに失敗しました: {1},필요한 플러그인 {0} 설치 실패: {1},Échec de l’installation du plugin requis {0} : {1}
Required plugin installation completed.,Установка требуемого плагина завершена.,所需插件安装完成。,所需外掛安裝完成。,必要なプラグインのインストールが完了しました。,필요한 플러그인 설치가 완료되었습니다.,Installation du plugin requis terminée.
Local user rules,Локальные пользовательские правила,本地用户规则,本機使用者規則,ローカルユーザールール,로컬 사용자 규칙,Règles utilisateur locales
Edit user-rule.txt to add your own ABP/EasyList-style network routing rules. User rules are evaluated before GeoSite defaults; normal rules use the proxy and @@ exception rules go direct. Changes are watched and applied automatically.,"Отредактируйте user-rule.txt, чтобы добавить собственные сетевые правила маршрутизации в стиле ABP/EasyList. Пользовательские правила проверяются раньше правил GeoSite; обычные правила используют прокси, а правила-исключения @@ направляют трафик напрямую. Изменения отслеживаются и применяются автоматически.",编辑 user-rule.txt 可添加自定义 ABP/EasyList 风格网络路由规则。用户规则优先于 GeoSite 默认规则；普通规则走代理，@@ 例外规则直连。更改会被监视并自动应用。,編輯 user-rule.txt 可加入自訂 ABP/EasyList 風格網路路由規則。使用者規則優先於 GeoSite 預設規則；一般規則走代理，@@ 例外規則直連。變更會被監視並自動套用。,user-rule.txt を編集して独自の ABP/EasyList 形式のネットワークルーティングルールを追加できます。ユーザールールは GeoSite の既定ルールより先に評価され、通常ルールはプロキシ、@@ 例外ルールは直接接続になります。変更は監視され自動適用されます。,"user-rule.txt을 편집하여 ABP/EasyList 형식의 사용자 네트워크 라우팅 규칙을 추가할 수 있습니다. 사용자 규칙은 GeoSite 기본 규칙보다 먼저 평가되며 일반 규칙은 프록시, @@ 예외 규칙은 직접 연결을 사용합니다. 변경 사항은 감지되어 자동 적용됩니다.",Modifiez user-rule.txt pour ajouter vos propres règles de routage réseau de style ABP/EasyList. Les règles utilisateur sont évaluées avant les règles GeoSite ; les règles normales utilisent le proxy et les exceptions @@ passent en direct. Les modifications sont surveillées et appliquées automatiquement.
Open user-rule.txt,Открыть user-rule.txt,打开 user-rule.txt,開啟 user-rule.txt,user-rule.txt を開く,user-rule.txt 열기,Ouvrir user-rule.txt
